Pk,Tm,Player
1,PHI,Ben Simmons
2,LAL,Brandon Ingram
3,BOS,Jaylen Brown
4,PHO,Dragan Bender
5,MIN,Kris Dunn
6,NOP,Buddy Hield
7,DEN,Jamal Murray
8,SAC,Marquese Chriss
9,TOR,Jakob Poeltl
10,MIL,Thon Maker
11,ORL,Domantas Sabonis
12,UTA,Taurean Prince
13,PHO,Georgios Papagiannis
14,CHI,Denzel Valentine
15,DEN,Juan Hernangómez
16,BOS,Guerschon Yabusele
17,MEM,Wade Baldwin
18,DET,Henry Ellenson
19,DEN,Malik Beasley
20,IND,Caris LeVert
21,ATL,DeAndre' Bembry
22,CHO,Malachi Richardson
23,BOS,Ante Žižić
24,PHI,Timothé Luwawu-Cabarrot
25,LAC,Brice Johnson
26,PHI,Furkan Korkmaz
27,TOR,Pascal Siakam
28,PHO,Skal Labissière
29,SAS,Dejounte Murray
30,GSW,Damian Jones
31,BOS,Deyonta Davis
32,LAL,Ivica Zubac
33,LAC,Cheick Diallo
34,PHO,Tyler Ulis
35,BOS,Rade Zagorac
36,MIL,Malcolm Brogdon
37,HOU,Chinanu Onuaku
38,MIL,Patrick McCaw
39,NOP,David Michineau
40,NOP,Diamond Stone
41,ORL,Stephen Zimmerman
42,UTA,Isaiah Whitehead
43,HOU,Zhou Qi
44,ATL,Isaïa Cordinier
45,BOS,Demetrius Jackson
46,DAL,A.J. Hammons
47,ORL,Jake Layman
48,CHI,Paul Zipser
49,DET,Michael Gbinije
50,IND,Georges Niang
51,BOS,Ben Bentil
52,UTA,Joel Bolomboy
53,DEN,Petr Cornelie
54,ATL,Kay Felder
55,BRK,Marcus Paige
56,DEN,Daniel Hamilton
57,MEM,Wang Zhelin
58,BOS,Abdel Nader
59,SAC,Isaiah Cousins
60,UTA,Tyrone Wallace
